age,layer,probability,rank
22.90007800780078,basal layers,0.5711144186168402,1
22.90007800780078,basal layers,0.5711144186168402,1
22.90007800780078,basal layers,0.5711144186168402,1
22.90007800780078,basal layers,0.5711144186168402,1
22.90032403240324,Haycock,0.01497323157398857,4
22.90032403240324,pseudotachylyte,0.9763642222211589,3
22.90032403240324,andesite,0.8837369370480491,2
22.90032403240324,andesite,0.8837369370480491,2
22.90032403240324,basal layers,0.5713050167457827,1
22.90032403240324,basal layers,0.5713050167457827,1
22.90032403240324,basal layers,0.5713050167457827,1
22.90032403240324,basal layers,0.5713050167457827,1
22.900570057005698,Haycock,0.014483755063795888,4
22.900570057005698,pseudotachylyte,0.9764921989677603,3
22.900570057005698,andesite,0.8842499221654455,2
22.900570057005698,andesite,0.8842499221654455,2
22.900570057005698,basal layers,0.5714908907593047,1
22.900570057005698,basal layers,0.5714908907593047,1
22.900570057005698,basal layers,0.5714908907593047,1
22.900570057005698,basal layers,0.5714908907593047,1
22.90081608160816,Haycock,0.014008445173096696,4
22.90081608160816,pseudotachylyte,0.976619840835357,3
22.90081608160816,andesite,0.8847619968907259,2
22.90081608160816,andesite,0.8847619968907259,2
22.90081608160816,basal layers,0.5716720360058816,1
22.90081608160816,basal layers,0.5716720360058816,1
22.90081608160816,basal layers,0.5716720360058816,1
22.90081608160816,basal layers,0.5716720360058816,1
22.90106210621062,Haycock,0.013546959425292942,4
22.90106210621062,pseudotachylyte,0.9767471476882471,3
22.90106210621062,andesite,0.8852731592977994,2
22.90106210621062,andesite,0.8852731592977994,2
22.90106210621062,basal layers,0.5718484479513583,1
22.90106210621062,basal layers,0.5718484479513583,1
22.90106210621062,basal layers,0.5718484479513583,1
22.90106210621062,basal layers,0.5718484479513583,1
22.901308130813078,Haycock,0.013098961263763599,4
22.901308130813078,pseudotachylyte,0.9768741193910725,3
22.901308130813078,andesite,0.8857834074631996,2
22.901308130813078,andesite,0.8857834074631996,2
22.901308130813078,basal layers,0.5720201221791475,1
22.901308130813078,basal layers,0.5720201221791475,1
22.901308130813078,basal layers,0.5720201221791475,1
22.901308130813078,basal layers,0.5720201221791475,1
22.90155415541554,Haycock,0.012664120030171689,4
22.90155415541554,pseudotachylyte,0.9770007558088258,3
22.90155415541554,andesite,0.8862927394661189,2
22.90155415541554,andesite,0.8862927394661189,2
22.90155415541554,basal layers,0.5721870543904206,1
22.90155415541554,basal layers,0.5721870543904206,1
22.90155415541554,basal layers,0.5721870543904206,1
22.90155415541554,basal layers,0.5721870543904206,1
22.901800180018,Haycock,0.012242110939746862,4
22.901800180018,pseudotachylyte,0.9771270568068383,3
22.901800180018,andesite,0.8868011533883755,2
22.901800180018,andesite,0.8868011533883755,2
22.901800180018,basal layers,0.5723492404042732,1
22.901800180018,basal layers,0.5723492404042732,1
22.901800180018,basal layers,0.5723492404042732,1
22.901800180018,basal layers,0.5723492404042732,1
22.90204620462046,Haycock,0.01183261505354231,4
22.90204620462046,pseudotachylyte,0.9772530222507879,3
22.90204620462046,andesite,0.8873086473144557,2
22.90204620462046,andesite,0.8873086473144557,2
22.90204620462046,basal layers,0.5725066761579084,1
22.90204620462046,basal layers,0.5725066761579084,1
22.90204620462046,basal layers,0.5725066761579084,1
22.90204620462046,basal layers,0.5725066761579084,1
22.90229222922292,Haycock,0.01143531924788908,4
22.90229222922292,pseudotachylyte,0.9773786520066963,3
22.90229222922292,andesite,0.8878152193315104,2
22.90229222922292,andesite,0.8878152193315104,2
22.90229222922292,basal layers,0.5726593577068033,1
22.90229222922292,basal layers,0.5726593577068033,1
22.90229222922292,basal layers,0.5726593577068033,1
22.90229222922292,basal layers,0.5726593577068033,1
22.90253825382538,Haycock,0.011049916181092361,4
22.90253825382538,pseudotachylyte,0.9775039459409357,3
22.90253825382538,andesite,0.8883208675293978,2
22.90253825382538,andesite,0.8883208675293978,2
22.90253825382538,basal layers,0.5728072812248821,1
22.90253825382538,basal layers,0.5728072812248821,1
22.90253825382538,basal layers,0.5728072812248821,1
22.90253825382538,basal layers,0.5728072812248821,1
22.90278427842784,Haycock,0.010676104257579061,4
22.90278427842784,pseudotachylyte,0.9776289039202183,3
22.90278427842784,andesite,0.8888255900006486,2
22.90278427842784,andesite,0.8888255900006486,2
22.90278427842784,basal layers,0.5729504430046626,1
22.90278427842784,basal layers,0.5729504430046626,1
22.90278427842784,basal layers,0.5729504430046626,1
22.90278427842784,basal layers,0.5729504430046626,1
22.903030303030302,Haycock,0.010313587589497113,4
22.903030303030302,pseudotachylyte,0.9777535258116047,3
22.903030303030302,andesite,0.8893293848405117,2
22.903030303030302,andesite,0.8893293848405117,2
22.903030303030302,basal layers,0.5730888394574203,1
22.903030303030302,basal layers,0.5730888394574203,1
22.903030303030302,basal layers,0.5730888394574203,1
22.903030303030302,basal layers,0.5730888394574203,1
22.90327632763276,Haycock,0.00996207595597126,4
22.90327632763276,pseudotachylyte,0.977877811482499,3
22.90327632763276,andesite,0.8898322501469467,2
22.90327632763276,andesite,0.8898322501469467,2
22.90327632763276,basal layers,0.5732224671133339,1
22.90327632763276,basal layers,0.5732224671133339,1
